source1_entity_id	candidate_entity_ids
S1-680637447	S2-305550866,S2-40312274,S2-4908679,S2-60662588,S2-215763896,S2-592881202,S2-203862995,S2-291537682,S2-167404095,S2-887173534,S2-971878514,S2-386022523,S2-566467894,S2-566204709,S2-980259702,S2-901706153,S2-174072300,S2-781614413,S2-259504978,S2-127013960,S3-472094422,S3-567619836,S3-284702369,S3-612464081,S3-524079353,S3-732467446,S3-678745285,S3-199401204,S3-654514302,S3-400847090,S3-893634243,S3-27828482,S3-778572005,S3-879656860,S3-434825929,S3-91192129,S3-495777532,S3-176828085,S3-682097146,S3-876245652
S1-870190130	S2-408784329,S2-45431562,S2-66934563,S2-210631590,S2-491215926,S2-774877201,S2-13242466,S2-526774219,S2-993045242,S2-749126116,S2-252942737,S2-403414262,S2-87697121,S2-197570955,S2-207118811,S2-877443712,S2-746217600,S2-508603048,S2-494504935,S2-55636069,S3-282871072,S3-116097714,S3-8091833,S3-143852498,S3-833293460,S3-468932479,S3-511364793,S3-313845643,S3-623551556,S3-622017603,S3-221869867,S3-827272814,S3-488999173,S3-754220350,S3-959186076,S3-78563400,S3-912459611,S3-690066751,S3-158041984,S3-463095392
S1-365170694	S2-353855386,S2-319140670,S2-283517536,S2-850524269,S2-504837702,S2-345574026,S2-205179124,S2-967038518,S2-754104378,S2-529160777,S2-761668289,S2-828729653,S2-358215911,S2-344956759,S2-882874510,S2-805548265,S2-421700184,S2-652157698,S2-776115813,S2-148864599,S3-965590195,S3-902878742,S3-383509051,S3-326380098,S3-665566090,S3-986333913,S3-125034765,S3-894554535,S3-877090597,S3-293848869,S3-931563201,S3-330708781,S3-926772527,S3-842491526,S3-82407437,S3-654216843,S3-985137427,S3-837061209,S3-481451268,S3-627047465
S1-778640743	S2-117036112,S2-998924368,S2-823497950,S2-495604525,S2-99059673,S2-809690243,S2-984594916,S2-389270539,S2-465665044,S2-696958600,S2-847930705,S2-577043370,S2-538979799,S2-622891952,S2-730090783,S2-845352947,S2-456217668,S2-633286157,S2-172339003,S2-28870620,S3-467616579,S3-585313377,S3-63175456,S3-867608501,S3-624314279,S3-512625539,S3-588881635,S3-326317952,S3-528244089,S3-930380398,S3-662956244,S3-743016773,S3-943627158,S3-611986684,S3-74427391,S3-651669869,S3-445805755,S3-113437035,S3-530441200,S3-95580652
S1-378191895	S2-194780367,S2-46251183,S2-886441714,S2-284797430,S2-954602660,S2-767196124,S2-109477559,S2-265013845,S2-462810789,S2-444088709,S2-495395238,S2-312863538,S2-968880515,S2-310203673,S2-301114007,S2-25603252,S2-219458294,S2-935861375,S2-733902841,S2-367421262,S3-574965345,S3-779007929,S3-53690135,S3-687716797,S3-7525865,S3-443024308,S3-383341672,S3-62237303,S3-591492307,S3-293863909,S3-363885267,S3-783154438,S3-666738655,S3-254336108,S3-46615497,S3-106635922,S3-465657469,S3-521693306,S3-866191475,S3-323904182
S1-684974736	S2-618595825,S2-804372357,S2-330839050,S2-164709711,S2-389074131,S2-313808553,S2-415183347,S2-900141598,S2-312878241,S2-562128736,S2-440633694,S2-875312544,S2-219895754,S2-122426944,S2-578510522,S2-195723912,S2-406111339,S2-535249939,S2-142747249,S2-712359876,S3-403182057,S3-479866796,S3-613942658,S3-762726185,S3-832647831,S3-527024444,S3-499044744,S3-756497896,S3-715865669,S3-949995336,S3-544605042,S3-530654091,S3-157851546,S3-889689884,S3-957255535,S3-476028861,S3-506027950,S3-435624740,S3-166562069,S3-498577657
S1-750279127	S2-126679610,S2-947844465,S2-878884039,S2-599002630,S2-891600450,S2-771268787,S2-151306337,S2-694895046,S2-339365830,S2-37969787,S2-213922978,S2-263585032,S2-851634065,S2-34249659,S2-431914516,S2-268662251,S2-606119667,S2-223340813,S2-91021671,S2-160722779,S3-642632666,S3-737591346,S3-257442719,S3-368650720,S3-859821365,S3-522233638,S3-468025191,S3-900449718,S3-407295256,S3-519651006,S3-576660392,S3-407369939,S3-222258008,S3-581899231,S3-484013061,S3-218396865,S3-537084161,S3-368104334,S3-517067680,S3-838433771
S1-209281220	S2-355352021,S2-821080353,S2-619090572,S2-904962932,S2-111044839,S2-613559472,S2-1190908,S2-631072122,S2-243875936,S2-449462416,S2-467692533,S2-266499977,S2-196104502,S2-148650459,S2-427637832,S2-8824189,S2-355656005,S2-335112761,S2-855804524,S2-61290486,S3-838377508,S3-553228322,S3-816369919,S3-799128595,S3-332236968,S3-157732099,S3-954710809,S3-557326580,S3-795106900,S3-944904174,S3-754500001,S3-388981527,S3-184901769,S3-601895066,S3-569051222,S3-885179488,S3-465377720,S3-453404850,S3-251550254,S3-29791337
S1-550154910	S2-66452205,S2-619927703,S2-285384769,S2-308727113,S2-135743632,S2-354497129,S2-210262787,S2-479511,S2-122532904,S2-606100572,S2-306589586,S2-476616158,S2-420714339,S2-298794132,S2-680491677,S2-90119287,S2-527970077,S2-815134404,S2-108959386,S2-729915788,S3-6778980,S3-292495394,S3-409202511,S3-411609589,S3-61892529,S3-44570790,S3-282908549,S3-333253188,S3-909141698,S3-50265618,S3-696445514,S3-105170828,S3-200650421,S3-45801760,S3-686807004,S3-547613965,S3-243385559,S3-754142148,S3-124923979,S3-566432478
S1-897975128	S2-675523517,S2-24864501,S2-526359191,S2-198108921,S2-991126031,S2-775198482,S2-300113600,S2-60538603,S2-146788913,S2-20078696,S2-708796447,S2-192551182,S2-557890210,S2-519150176,S2-482478959,S2-908457142,S2-194389584,S2-843055193,S2-714171917,S2-440458595,S3-297563564,S3-846577187,S3-359017501,S3-362688357,S3-656566254,S3-78592951,S3-767213180,S3-837301258,S3-4604646,S3-766693547,S3-222176761,S3-36394868,S3-57711132,S3-897538772,S3-300336228,S3-713754282,S3-14700333,S3-899239924,S3-355370231,S3-473636915
S1-704604312	S2-259202536,S2-557746563,S2-367175765,S2-521413821,S2-238124661,S2-739001878,S2-96362079,S2-536346493,S2-119602706,S2-512737658,S2-478081963,S2-307375005,S2-651252160,S2-451122481,S2-257478410,S2-582318854,S2-965195000,S2-662590145,S2-928997081,S2-142316680,S3-861876204,S3-521710250,S3-669092448,S3-962607637,S3-549298,S3-224294182,S3-321777851,S3-692480408,S3-583984779,S3-356059610,S3-165611344,S3-996787733,S3-762435762,S3-165303512,S3-560988841,S3-734744338,S3-983011798,S3-57553088,S3-355122519,S3-652152736
S1-628750886	S2-53776724,S2-807016001,S2-837066204,S2-798097484,S2-168557846,S2-486425023,S2-96368391,S2-800631797,S2-69192951,S2-53144371,S2-584746235,S2-127839665,S2-24597169,S2-441692657,S2-833923367,S2-847808650,S2-786869781,S2-470200570,S2-626468842,S2-116990488,S3-285037882,S3-89710702,S3-734924651,S3-966640159,S3-664055686,S3-358013776,S3-535061929,S3-977186336,S3-276488973,S3-99702259,S3-929584511,S3-872325667,S3-806854043,S3-698983355,S3-967582304,S3-21838448,S3-264963212,S3-264878966,S3-427581158,S3-934627663
S1-714038427	S2-826808370,S2-427125238,S2-736462000,S2-724578744,S2-179705599,S2-697133366,S2-154465233,S2-233642246,S2-382746367,S2-394629152,S2-778488094,S2-725867001,S2-571060512,S2-464776473,S2-900778126,S2-330104777,S2-588803791,S2-796218886,S2-24568141,S2-263120945,S3-552359778,S3-199617731,S3-896661983,S3-846732935,S3-828529434,S3-425263573,S3-372085852,S3-141015950,S3-992784512,S3-457307384,S3-573605691,S3-583305531,S3-59503149,S3-306804841,S3-205030578,S3-960350622,S3-744887402,S3-549558030,S3-934036934,S3-22070594
S1-426194890	S2-915599312,S2-372587726,S2-530637870,S2-893186028,S2-938169179,S2-435477583,S2-417732360,S2-377669375,S2-786123845,S2-393875913,S2-495328048,S2-236486600,S2-791377367,S2-12182513,S2-321891708,S2-292786177,S2-428112890,S2-665541388,S2-997515179,S2-395466375,S3-482114701,S3-496856675,S3-908893644,S3-162462180,S3-815662862,S3-48022588,S3-562188415,S3-149072483,S3-330752090,S3-832238839,S3-940929323,S3-142374256,S3-677073371,S3-549861416,S3-19301081,S3-51841915,S3-308387912,S3-881926213,S3-22770491,S3-141829391
S1-122385784	S2-808576831,S2-703172444,S2-220449102,S2-63531653,S2-665775709,S2-143635266,S2-755866309,S2-984611297,S2-289412437,S2-317338793,S2-347572841,S2-540758468,S2-676467679,S2-836257905,S2-554172232,S2-150397121,S2-181041759,S2-779120161,S2-907643272,S2-532721038,S3-239645053,S3-543745613,S3-582674700,S3-183927606,S3-849863248,S3-868851418,S3-730526549,S3-815732391,S3-759246888,S3-932146669,S3-33708676,S3-776466763,S3-968001175,S3-471128711,S3-60823907,S3-724080816,S3-490502117,S3-937356851,S3-435949594,S3-360682713
S1-540642140	S2-689731037,S2-324226436,S2-299061023,S2-873367081,S2-579911424,S2-828909021,S2-336288921,S2-620833020,S2-631009621,S2-12143053,S2-184312863,S2-630503409,S2-498847231,S2-596908633,S2-971189240,S2-18373037,S2-113542856,S2-861815244,S2-414109268,S2-224731794,S3-268397330,S3-141821860,S3-830267222,S3-509033058,S3-1857324,S3-302908215,S3-117180556,S3-981469366,S3-48359014,S3-739936444,S3-284204543,S3-447231469,S3-335841338,S3-605923847,S3-546424284,S3-242645790,S3-461733052,S3-922355247,S3-896029467,S3-501419719
S1-123475953	S2-794070233,S2-928598328,S2-356994453,S2-538358423,S2-87610766,S2-112408451,S2-902873889,S2-797831149,S2-141889727,S2-172066960,S2-384171816,S2-72106541,S2-286309618,S2-781154402,S2-836156518,S2-270019533,S2-340104040,S2-211215201,S2-304272541,S2-257478410,S3-179845689,S3-784413818,S3-381009221,S3-93034073,S3-80563314,S3-703086048,S3-17457335,S3-738060609,S3-171332589,S3-744886842,S3-678442825,S3-459504061,S3-22144092,S3-742971251,S3-195511370,S3-255731557,S3-848583182,S3-362931345,S3-718425010,S3-334771935
S1-444801830	S2-923689213,S2-109811495,S2-760467372,S2-932502376,S2-707029363,S2-90282614,S2-687975083,S2-136729707,S2-229478482,S2-638309978,S2-793605349,S2-158763449,S2-900220600,S2-144056913,S2-932188608,S2-765110766,S2-202929334,S2-636196033,S2-18432284,S2-241362122,S3-302516864,S3-866580997,S3-145729614,S3-32387908,S3-702192442,S3-238568846,S3-58465858,S3-254957014,S3-505728960,S3-422242645,S3-189475939,S3-674234124,S3-132722092,S3-175443554,S3-233201952,S3-545762589,S3-468363908,S3-333773609,S3-406335797,S3-295680915
S1-502376041	S2-186622449,S2-212821777,S2-595328532,S2-629820719,S2-516874971,S2-440910055,S2-619674297,S2-589445977,S2-350512005,S2-61770009,S2-588085625,S2-479203488,S2-796991793,S2-755763130,S2-128112827,S2-609420211,S2-940810751,S2-470558958,S2-118549106,S2-479511,S3-569456395,S3-324472424,S3-320715327,S3-499352911,S3-435335006,S3-476232727,S3-159905326,S3-926900487,S3-632305304,S3-554907627,S3-568299876,S3-883789863,S3-994013896,S3-73202453,S3-361303795,S3-10304122,S3-271285624,S3-26695922,S3-566057472,S3-88912234
S1-594021398	S2-7793752,S2-776999904,S2-435712342,S2-967742666,S2-580916055,S2-785306153,S2-837946438,S2-577070082,S2-289239065,S2-844502848,S2-624133172,S2-90546857,S2-485337509,S2-498087914,S2-134433413,S2-403162570,S2-879732073,S2-103538789,S2-24970872,S2-265721609,S3-621698790,S3-682394848,S3-782363652,S3-104115349,S3-701573581,S3-736798421,S3-332240013,S3-679887350,S3-760143860,S3-452489284,S3-546262399,S3-720539650,S3-263638254,S3-413017480,S3-606404587,S3-728047690,S3-798438105,S3-893634243,S3-601379705,S3-113184158
S1-261170522	S2-116928397,S2-689436643,S2-757903279,S2-250936280,S2-292256470,S2-825158584,S2-420867802,S2-338306388,S2-84605393,S2-596905453,S2-337354956,S2-387573589,S2-645330149,S2-721023618,S2-596856473,S2-956677072,S2-438748930,S2-840144902,S2-734286984,S2-20886604,S3-596575988,S3-113279201,S3-721761087,S3-585634379,S3-387727807,S3-104763969,S3-47840646,S3-509187392,S3-189889195,S3-678081167,S3-963348933,S3-171662170,S3-968239933,S3-441030787,S3-604691447,S3-390122956,S3-974379737,S3-117232718,S3-960255017,S3-955423980
S1-466641145	S2-529863754,S2-120427855,S2-173720137,S2-430674980,S2-676368068,S2-60521590,S2-687518664,S2-257820483,S2-217900075,S2-329568837,S2-460302479,S2-666192613,S2-466318656,S2-942112496,S2-473823281,S2-125539487,S2-324814113,S2-103726006,S2-524884377,S2-678827984,S3-750527139,S3-761081103,S3-125143148,S3-665430758,S3-38148457,S3-622597517,S3-707815056,S3-39962845,S3-326829264,S3-536111343,S3-200532536,S3-630598758,S3-944172031,S3-734723095,S3-88046024,S3-676366558,S3-62706682,S3-749049376,S3-976318016,S3-729565934
S1-99245709	S2-207454865,S2-259131808,S2-640233717,S2-274405595,S2-679498830,S2-818332935,S2-572747167,S2-107262921,S2-343638453,S2-292152485,S2-261787973,S2-279875257,S2-545211751,S2-587025147,S2-500623144,S2-644019880,S2-625862684,S2-190627117,S2-510379475,S2-97125385,S3-727208943,S3-258612024,S3-168440805,S3-780604171,S3-85933029,S3-144570929,S3-927210598,S3-108585841,S3-261202829,S3-600517162,S3-53007035,S3-166370326,S3-434699992,S3-412224034,S3-384017458,S3-287436167,S3-92692166,S3-384818605,S3-941031986,S3-126070118
S1-339015166	S2-826263871,S2-296366839,S2-33018402,S2-94093616,S2-553950303,S2-232221012,S2-762541697,S2-939344974,S2-583290395,S2-459086059,S2-675656572,S2-352084832,S2-385134327,S2-98982738,S2-622584266,S2-164983658,S2-480158827,S2-525621964,S2-857645804,S2-49187443,S3-440143686,S3-256731383,S3-871727436,S3-972884548,S3-605354562,S3-43574482,S3-111435373,S3-265131379,S3-217862142,S3-145393312,S3-503108205,S3-494273983,S3-470196650,S3-170098011,S3-164801824,S3-761343028,S3-312939991,S3-696156090,S3-617878664,S3-67545593
S1-614259237	S2-486356063,S2-998995214,S2-244698568,S2-631477571,S2-893780823,S2-238455447,S2-611266327,S2-892923204,S2-207134386,S2-139790355,S2-843661889,S2-452898435,S2-599045448,S2-333160718,S2-785664388,S2-115242180,S2-971878645,S2-179727257,S2-217238999,S2-638268338,S3-845943283,S3-456242770,S3-635826736,S3-934516908,S3-734988689,S3-209162351,S3-8767041,S3-468495143,S3-129328008,S3-593183388,S3-872429438,S3-769640178,S3-557827618,S3-166135217,S3-700022633,S3-298755496,S3-243484667,S3-640695336,S3-571682439,S3-37064208
S1-385801270	S2-179380437,S2-68825976,S2-12927066,S2-795664994,S2-576153328,S2-418483644,S2-156552749,S2-260794285,S2-671788102,S2-315914893,S2-161721121,S2-62914675,S2-909787336,S2-904181183,S2-589194842,S2-60326144,S2-349799608,S2-881331999,S2-959254983,S2-925480644,S3-339931700,S3-241419187,S3-789105350,S3-319754807,S3-623530195,S3-718744909,S3-2681180,S3-370854324,S3-554074334,S3-451860021,S3-669234635,S3-754808599,S3-986260414,S3-956203485,S3-187309809,S3-270279909,S3-466565920,S3-624740436,S3-768678850,S3-645362908
S1-334672926	S2-577851123,S2-563797179,S2-4062554,S2-466121610,S2-229798641,S2-158181663,S2-243808682,S2-595096852,S2-685552893,S2-996572237,S2-810859435,S2-296491616,S2-112332199,S2-360549470,S2-260578676,S2-732641367,S2-220629993,S2-576878239,S2-756026965,S2-209674847,S3-764447062,S3-292922455,S3-192779499,S3-27010318,S3-664539081,S3-548643460,S3-271742141,S3-638366056,S3-663714712,S3-146313953,S3-391588786,S3-276970812,S3-407864732,S3-40623345,S3-219482913,S3-369669237,S3-265127651,S3-523777238,S3-432033182,S3-754833724
S1-717749279	S2-91783047,S2-286731523,S2-844660399,S2-622111620,S2-959151553,S2-956194783,S2-117551142,S2-1888272,S2-580884489,S2-195679922,S2-285962837,S2-234709643,S2-886484824,S2-879573885,S2-234233670,S2-197757660,S2-251860012,S2-326541231,S2-790883248,S2-218724234,S3-469393386,S3-174497076,S3-533950000,S3-337599110,S3-104824913,S3-778547973,S3-459650342,S3-904908845,S3-19339829,S3-505685061,S3-861078163,S3-744367198,S3-636585142,S3-31628711,S3-598934174,S3-752929433,S3-581827040,S3-256713770,S3-694302301,S3-462381740
S1-564662660	S2-697767618,S2-706548751,S2-341861496,S2-390561860,S2-814056191,S2-352406402,S2-83775732,S2-186222453,S2-261227768,S2-369785818,S2-315678173,S2-827982690,S2-540194268,S2-173845451,S2-915680535,S2-584420029,S2-54342707,S2-398155221,S2-747285616,S2-584160493,S3-947057760,S3-798958162,S3-937901603,S3-661006315,S3-486301243,S3-954379233,S3-357229977,S3-135849373,S3-912082547,S3-988115547,S3-187339225,S3-544126199,S3-142568814,S3-341680554,S3-683088567,S3-130005890,S3-90247017,S3-774154355,S3-508197711,S3-936888058
S1-41643447	S2-644655973,S2-787825386,S2-97561703,S2-973964354,S2-390547027,S2-432791674,S2-479154694,S2-153590190,S2-389385108,S2-979096206,S2-953327222,S2-96379537,S2-127681328,S2-835130278,S2-956071320,S2-645838319,S2-118314203,S2-438489083,S2-185229668,S2-271158169,S3-7343218,S3-72291071,S3-989175078,S3-999812383,S3-574074201,S3-395796336,S3-393078708,S3-504763911,S3-105833231,S3-464456099,S3-376832785,S3-259802634,S3-867904765,S3-969826026,S3-698837339,S3-723755908,S3-839182033,S3-895068690,S3-725460638,S3-120258939
S1-581360597	S2-578854348,S2-120420573,S2-470333290,S2-249328236,S2-176063411,S2-926213828,S2-599365223,S2-233586234,S2-869546004,S2-802445465,S2-767553315,S2-91064584,S2-438594064,S2-616986080,S2-605475028,S2-51387770,S2-459952451,S2-665807208,S2-560622496,S2-187085703,S3-526876240,S3-692424940,S3-649834292,S3-493297431,S3-944044316,S3-68321827,S3-378727129,S3-574371493,S3-501178478,S3-440113927,S3-55764603,S3-206218001,S3-546291708,S3-764995258,S3-366259547,S3-487790426,S3-198663563,S3-933948651,S3-361986145,S3-978227545
S1-946184931	S2-177166041,S2-535234648,S2-963662297,S2-552252281,S2-43623386,S2-349128395,S2-644357527,S2-568490079,S2-909328040,S2-223996764,S2-512747180,S2-154190374,S2-645140403,S2-152857657,S2-108270710,S2-803049799,S2-467037836,S2-477823064,S2-178669947,S2-89663826,S3-503668901,S3-992996145,S3-986947265,S3-124944817,S3-22642642,S3-250552194,S3-589056677,S3-4203062,S3-383280263,S3-408956453,S3-393812032,S3-506213411,S3-76070936,S3-796306395,S3-232007750,S3-8441595,S3-47802917,S3-867086595,S3-673649051,S3-881842882
S1-244940399	S2-702406468,S2-69443333,S2-105254689,S2-34297275,S2-140420712,S2-925290574,S2-391568772,S2-288810441,S2-380727629,S2-971047782,S2-126300823,S2-723088853,S2-104250308,S2-132199628,S2-643358718,S2-456031210,S2-804170166,S2-202291881,S2-880095374,S2-311813718,S3-547433310,S3-237276677,S3-854128922,S3-329818500,S3-955503408,S3-279952,S3-547062141,S3-912225618,S3-565182127,S3-156891792,S3-303312064,S3-621267647,S3-712133863,S3-905545559,S3-448024502,S3-41649310,S3-767766339,S3-85854028,S3-270720815,S3-238477063
S1-616465752	S2-202340261,S2-912417703,S2-450476300,S2-42865733,S2-744054810,S2-6110033,S2-507332275,S2-667429416,S2-753713247,S2-819087568,S2-689016303,S2-825049655,S2-260630112,S2-604976451,S2-626612,S2-992255656,S2-297133466,S2-417207185,S2-394039568,S2-706023799,S3-270849173,S3-279172743,S3-366311053,S3-50181822,S3-571048119,S3-172391544,S3-903413330,S3-168100738,S3-773418680,S3-456436358,S3-325143670,S3-611663741,S3-154628206,S3-313137453,S3-324719159,S3-402388716,S3-93363345,S3-876606902,S3-96912919,S3-338787581
S1-762904067	S2-532378232,S2-978193459,S2-631088052,S2-969635136,S2-240947445,S2-393378258,S2-143289999,S2-985314510,S2-532991167,S2-749754768,S2-591655986,S2-934653449,S2-164411436,S2-284462419,S2-692066269,S2-861250096,S2-641933377,S2-671119196,S2-226359557,S2-646078621,S3-772934100,S3-242482810,S3-701971310,S3-423541227,S3-707120342,S3-714453823,S3-7207926,S3-378335881,S3-447917469,S3-399526928,S3-570273698,S3-462723300,S3-96071896,S3-466645260,S3-388713887,S3-440589045,S3-614540693,S3-236618048,S3-803086345,S3-271028931
S1-261476747	S2-334177900,S2-81256081,S2-632015763,S2-599535760,S2-194647062,S2-411735661,S2-804372925,S2-797832646,S2-655157217,S2-481207244,S2-584539052,S2-707825867,S2-632981984,S2-259935169,S2-861455586,S2-468540564,S2-343084525,S2-809443008,S2-625724763,S2-185509246,S3-608396300,S3-262422193,S3-931704031,S3-168406580,S3-584765379,S3-551844144,S3-880558356,S3-948767069,S3-107543312,S3-693039618,S3-192263409,S3-274338828,S3-650353743,S3-400356542,S3-65442473,S3-810060615,S3-915560653,S3-436995426,S3-134202745,S3-598934174
S1-874436225	S2-846508960,S2-700233887,S2-755291840,S2-915815993,S2-654124665,S2-467136296,S2-125154678,S2-846945459,S2-764631357,S2-357591430,S2-849850500,S2-277418860,S2-169345315,S2-614920067,S2-979550406,S2-984379193,S2-143218931,S2-374185952,S2-137722596,S2-723366124,S3-238568846,S3-866580997,S3-132722092,S3-145729614,S3-32387908,S3-175443554,S3-302516864,S3-397954251,S3-674234124,S3-608490660,S3-282774756,S3-597439500,S3-647681163,S3-533188670,S3-904517161,S3-233201952,S3-297725819,S3-909410581,S3-833434815,S3-702192442
